index,na_x,na_y
230,-0.197000,-0.394000
231,-0.197000,0.394000
232,-0.394000,0.197000
233,-0.441000,0.000000
234,0.441000,0.000000
235,0.000000,-0.441000
236,0.000000,0.441000
237,-0.316000,-0.316000
238,0.316000,-0.316000
239,0.316000,0.316000
240,-0.316000,0.316000
241,-0.441000,0.059000
242,-0.059000,-0.441000
243,0.441000,0.059000
244,-0.441000,-0.059000
245,-0.059000,0.441000
246,0.059000,-0.441000
247,0.059000,0.441000
248,0.441000,-0.059000
249,-0.262000,0.367000
250,0.262000,0.367000
251,0.367000,0.262000
252,-0.367000,-0.262000
253,0.367000,-0.262000
254,-0.367000,0.262000
255,-0.262000,-0.367000
256,0.262000,-0.367000
257,-0.117000,0.438000
258,-0.438000,-0.117000
259,0.438000,0.117000
260,0.117000,-0.438000
261,0.438000,-0.117000
262,-0.117000,-0.438000
263,-0.438000,0.117000
264,0.117000,0.438000
265,-0.250000,0.389000
266,0.389000,0.250000
267,-0.389000,-0.250000
268,0.250000,-0.389000
269,0.389000,-0.250000
270,-0.250000,-0.389000
271,0.250000,0.389000
272,-0.389000,0.250000
273,0.174000,-0.435000
274,-0.435000,0.174000
275,0.435000,0.174000
276,-0.174000,0.435000
277,-0.435000,-0.174000
278,-0.174000,-0.435000
279,0.174000,0.435000
280,0.435000,-0.174000
281,0.362000,-0.310000
282,0.310000,-0.362000
283,-0.310000,-0.362000
284,0.310000,0.362000
285,-0.310000,0.362000
286,0.362000,0.310000
287,-0.362000,-0.310000
288,-0.362000,0.310000
289,-0.030000,-0.482000
290,0.030000,-0.482000
291,-0.482000,-0.030000
292,-0.482000,0.030000
293,0.482000,0.030000
294,0.482000,-0.030000
295,0.030000,0.482000
296,-0.030000,0.482000
297,-0.383000,-0.300000
298,-0.383000,0.301000
299,-0.300000,0.383000
300,0.383000,-0.301000
301,-0.301000,-0.383000
302,0.301000,0.383000
303,0.383000,0.300000
304,0.300000,-0.383000
305,0.229000,-0.430000
306,-0.430000,-0.229000
307,0.430000,0.229000
308,-0.229000,-0.430000
309,0.430000,-0.229000
310,0.229000,0.430000
311,-0.430000,0.229000
312,-0.229000,0.430000
313,0.480000,-0.090000
314,-0.480000,0.090000
315,0.480000,0.090000
316,-0.090000,-0.480000
317,-0.480000,-0.090000
